"tax","religion","free_election","state_aid","civil_rights","women","posterior_C1","posterior_C2","posterior_C3","pred_class"
"5","1","5","5","8","8",0.093,0.882,0.024,2
"1","1","10","2","10","10",0,0,1,3
"5","10","10","10","8","10",0.002,0,0.998,3
"6","3","9","9","9","7",0.998,0,0.002,1
"10","10","10","10","10","5",0,0,1,3
"5","1","8","5","8","8",0.941,0.011,0.048,1
"6","2","9","9","5","9",0.997,0,0.003,1
"5","5","5","5","5","10",0,1,0,2
"9","6","10","10","9","10",0.046,0,0.954,3
"4","3","9","8","8","8",0.999,0,0.001,1
"10","1","10","10","10","10",0,0,1,3
"5","1","10","4","9","10",0.015,0,0.985,3
"1","5","10","3","8","9",0.348,0.001,0.651,3
"3","3","10","2","10","10",0.003,0,0.997,3
"5","4","1","2","10","10",0.006,0,0.994,3
"6","1","10","5","7","10",0.031,0,0.969,3
"5","5","7","7","7","8",1,0,0,1
"5","5","10","6","10","10",0.014,0.003,0.983,3
"4","1","10","5","10","10",0.001,0,0.999,3
"3","1","1","1","1","1",0,0,1,3
"7","1","9","9","10","10",0.012,0,0.988,3
"8","6","6","4","7","10",0.997,0,0.003,1
"4","5","7","4","6","7",1,0,0,1
"5","1","8","3","9","9",0.951,0,0.049,1
"8","2","10","7","10","10",0.006,0,0.994,3
"5","5","3","4","6","6",0.944,0.056,0,1
"6","6","6","7","7","9",1,0,0,1
"6","5","9","8","6","9",0.999,0,0.001,1
"5","6","7","6","9","9",1,0,0,1
"5","5","8","3","7","7",0.993,0.006,0,1
"4","1","8","7","7","10",0.894,0,0.106,1
"5","5","5","5","5","5",0,1,0,2
"6","3","9","6","10","10",0.293,0,0.707,3
"10","1","2","4","9","9",0.108,0,0.892,3
"4","4","4","4","5","5",0.927,0.073,0,1
"4","4","4","4","4","4",0.99,0.01,0,1
"6","1","10","10","10","10",0,0,1,3
"5","2","9","5","10","10",0.089,0,0.911,3
"5","2","10","9","9","10",0.211,0,0.789,3
"9","1","10","8","10","10",0,0,1,3
"3","5","7","5","2","6",0.999,0,0.001,1
"3","7","7","7","6","5",1,0,0,1
"10","10","10","10","1","1",0,0,1,3
"2","2","10","10","7","10",0.008,0,0.992,3
"1","10","10","5","10","10",0,0,1,3
"4","1","10","6","10","10",0.001,0,0.999,3
"5","5","5","5","5","5",0,1,0,2
"2","1","10","10","10","10",0,0,1,3
"10","10","10","10","10","10",0,0,1,3
"5","2","8","3","9","10",0.925,0,0.075,1
"8","1","10","7","10","9",0.009,0,0.991,3
"5","4","6","5","5","6",0.26,0.74,0,2
"6","2","9","4","8","9",0.993,0,0.007,1
"5","4","5","7","5","10",0.977,0,0.022,1
"2","6","6","7","7","7",1,0,0,1
"1","1","10","8","8","8",0.031,0,0.969,3
"5","5","6","6","6","5",0.099,0.901,0,2
"1","4","9","7","7","9",0.994,0,0.006,1
"4","2","2","4","5","9",0.985,0,0.015,1
"1","8","10","1","7","10",0,0,1,3
"1","9","9","10","8","10",0.027,0,0.973,3
"7","1","10","7","9","10",0.015,0,0.985,3
"3","2","10","2","10","10",0.001,0,0.999,3
"8","3","10","5","6","8",0.972,0,0.028,1
"8","2","8","8","5","8",0.999,0,0.001,1
"8","1","10","8","10","10",0,0,1,3
"9","6","6","6","7","7",0.999,0,0,1
"7","1","10","8","10","10",0,0,1,3
"2","5","10","10","9","9",0.111,0,0.889,3
"10","1","10","10","10","10",0,0,1,3
"1","1","10","7","10","9",0.001,0,0.999,3
"6","1","10","4","10","10",0,0,1,3
"5","5","6","6","5","7",0.213,0.787,0,2
"2","2","10","5","8","10",0.037,0,0.963,3
"5","1","10","4","8","8",0.282,0,0.718,3
"6","1","10","9","10","10",0.001,0,0.999,3
"8","1","10","10","1","10",0,0,1,3
"6","1","10","7","10","10",0,0,1,3
"5","5","5","5","5","5",0,1,0,2
"4","5","3","3","7","7",0.978,0.022,0,1
"10","1","10","1","10","10",0,0,1,3
"8","1","10","4","10","10",0,0,1,3
"5","1","9","4","9","8",0.905,0,0.095,1
"1","1","1","1","10","10",0,0,1,3
"8","8","8","9","5","5",1,0,0,1
"1","1","10","1","10","10",0,0,1,3
"8","1","10","1","10","10",0,0,1,3
"8","8","1","1","1","1",0,0,1,3
"3","3","10","8","9","9",0.925,0,0.075,1
"3","3","10","4","10","10",0.013,0,0.987,3
"5","1","10","10","10","10",0,0,1,3
"5","1","10","4","4","7",0.29,0.002,0.708,3
"8","1","10","4","3","10",0.015,0,0.985,3
"2","1","10","3","10","10",0,0,1,3
"6","6","9","9","9","10",0.975,0,0.025,1
"3","1","10","10","10","10",0,0,1,3
"7","7","10","7","7","10",0.611,0,0.389,1
"5","5","10","5","8","10",0.2,0.09,0.71,3
"1","1","10","1","10","10",0,0,1,3
"6","6","6","6","5","5",0.753,0.247,0,1
"5","5","5","5","5","5",0,1,0,2
"5","3","9","7","8","9",0.997,0,0.003,1
"10","5","10","6","10","10",0.002,0,0.998,3
"7","5","8","7","7","8",1,0,0,1
"5","5","5","5","5","5",0,1,0,2
"5","4","4","4","2","9",0.999,0.001,0,1
"5","2","8","5","6","7",0.999,0,0.001,1
"1","1","10","5","10","10",0,0,1,3
"7","7","7","7","8","8",0.999,0,0.001,1
"7","5","8","5","8","8",0.997,0.001,0.002,1
"5","5","5","5","5","5",0,1,0,2
"2","1","10","7","8","10",0.004,0,0.996,3
"1","1","1","1","1","1",0,0,1,3
"1","1","10","10","5","7",0.003,0,0.997,3
"2","1","10","8","10","10",0,0,1,3
"1","1","10","6","10","10",0,0,1,3
"1","1","10","1","5","10",0,0,1,3
"1","1","10","3","10","10",0,0,1,3
"6","4","10","10","10","10",0.001,0,0.999,3
"5","5","5","5","1","4",0,1,0,2
"5","1","10","5","10","10",0,0,1,3
"3","6","4","4","5","5",0.99,0.01,0,1
"4","1","10","8","10","10",0.001,0,0.999,3
"7","1","9","5","10","10",0.006,0,0.994,3
"8","1","10","10","10","10",0,0,1,3
"9","1","10","8","10","10",0,0,1,3
"8","1","10","1","10","10",0,0,1,3
"1","2","10","7","10","8",0.013,0,0.987,3
"1","1","10","1","10","10",0,0,1,3
"5","2","10","10","9","7",0.199,0,0.801,3
"6","6","6","6","6","6",0.999,0.001,0,1
"1","1","10","5","9","10",0.001,0,0.999,3
"6","5","5","6","4","5",0.009,0.991,0,2
"8","1","10","6","10","10",0,0,1,3
"1","1","1","1","10","10",0,0,1,3
"3","4","3","5","3","3",0.939,0.059,0.001,1
"2","2","10","7","10","10",0.002,0,0.998,3
"9","3","8","7","1","9",0.991,0,0.009,1
"1","1","10","5","10","5",0,0.002,0.998,3
"1","5","5","10","10","10",0.001,0.018,0.981,3
"5","5","3","3","5","4",0.023,0.977,0,2
"6","3","9","5","9","10",0.895,0,0.105,1
"1","1","5","7","10","10",0.001,0,0.999,3
"2","1","10","3","10","10",0,0,1,3
"8","9","8","8","7","8",1,0,0,1
"3","1","9","9","10","10",0.01,0,0.99,3
"10","1","10","10","10","10",0,0,1,3
"1","1","10","5","10","10",0,0,1,3
"5","5","10","3","9","10",0.236,0,0.764,3
"6","5","7","9","5","9",1,0,0,1
"2","4","4","7","6","6",1,0,0,1
"1","1","10","5","1","1",0,0,1,3
"2","1","1","1","1","1",0,0,1,3
"1","1","8","4","10","10",0.003,0,0.997,3
"10","3","10","10","10","10",0,0,1,3
"1","7","10","1","9","5",0,0,1,3
"1","1","1","1","2","2",0,0,1,3
"4","2","10","4","9","7",0.927,0,0.073,1
"7","5","5","7","7","7",0.999,0,0.001,1
"8","5","10","10","1","10",0.002,0,0.998,3
"3","1","10","4","10","10",0,0,1,3
"4","8","2","3","10","10",0.055,0,0.945,3
"7","7","7","8","7","8",1,0,0,1
"4","4","4","4","3","9",1,0,0,1
"6","2","10","7","9","10",0.202,0,0.798,3
"8","2","10","7","9","9",0.833,0,0.167,1
"1","1","10","10","10","10",0,0,1,3
"1","1","10","7","10","10",0,0,1,3
"1","6","10","10","10","10",0,0,1,3
"1","1","10","10","10","10",0,0,1,3
"6","5","10","9","9","10",0.366,0,0.634,3
"6","6","6","6","9","10",0.992,0,0.008,1
"1","1","10","6","10","10",0,0,1,3
"6","1","10","3","10","10",0,0,1,3
"5","1","10","4","8","9",0.262,0,0.738,3
"3","2","10","7","7","9",0.94,0,0.06,1
"10","1","10","9","10","10",0,0,1,3
"5","5","10","7","10","10",0.014,0,0.986,3
"4","3","10","10","5","9",0.707,0.001,0.292,1
"6","4","8","5","10","10",0.64,0.001,0.359,1
"5","2","10","8","9","10",0.203,0,0.797,3
"7","1","10","5","10","10",0,0,1,3
"7","1","10","6","10","10",0,0,1,3
"7","1","10","6","8","8",0.28,0,0.72,3
"5","5","10","6","7","10",0.595,0.026,0.379,1
"6","3","10","9","10","8",0.35,0,0.65,3
"1","1","10","1","8","10",0,0,1,3
"5","5","5","5","5","5",0,1,0,2
"10","10","5","5","6","5",0.002,0.998,0,2
"6","1","10","5","10","10",0,0,1,3
"6","5","10","9","10","10",0.017,0,0.983,3
"5","9","10","5","9","10",0.202,0,0.798,3
"8","1","10","5","10","10",0,0,1,3
"4","5","5","5","1","3",0.001,0.999,0,2
"5","2","10","3","10","10",0.004,0,0.996,3
"5","1","10","7","10","10",0,0,1,3
"4","5","5","5","7","10",0.041,0.958,0.001,2
"10","10","10","10","10","10",0,0,1,3
"2","1","10","10","10","10",0,0,1,3
"6","1","10","3","9","10",0.01,0,0.99,3
"4","6","10","6","8","7",0.986,0,0.014,1
"10","1","10","9","10","10",0,0,1,3
"5","1","9","4","2","10",0.212,0.001,0.787,3
"4","4","9","9","9","10",0.985,0,0.015,1
"10","5","8","6","5","7",0.962,0.035,0.003,1
"1","1","1","5","5","5",0.006,0.788,0.207,2
"5","5","5","5","4","4",0,1,0,2
"3","7","8","6","8","8",0.999,0,0.001,1
"3","3","9","2","1","10",0.198,0,0.802,3
"6","1","10","6","10","8",0.012,0,0.988,3
"10","1","10","10","10","10",0,0,1,3
"5","4","5","5","3","3",0.009,0.991,0,2
"1","1","10","5","10","10",0,0,1,3
"5","2","10","6","9","10",0.189,0,0.811,3
"2","1","10","2","10","10",0,0,1,3
"10","6","10","10","8","7",0.15,0,0.85,3
"3","3","7","7","6","8",1,0,0,1
"5","3","8","4","9","9",0.999,0,0.001,1
"8","1","10","5","5","5",0.277,0,0.723,3
"5","3","8","5","9","9",0.999,0,0.001,1
"5","1","10","10","1","10",0,0,1,3
"2","1","10","10","10","10",0,0,1,3
"4","2","8","7","9","8",0.999,0,0.001,1
"4","4","4","7","7","7",1,0,0,1
"2","1","10","2","10","10",0,0,1,3
"3","2","10","7","6","10",0.463,0,0.537,3
"2","3","10","6","10","10",0.005,0,0.995,3
"5","3","3","5","5","4",0.066,0.934,0,2
"7","7","7","7","7","7",1,0,0,1
"5","1","10","6","8","10",0.015,0,0.985,3
"5","4","10","6","9","9",0.966,0,0.034,1
"1","1","10","8","10","10",0,0,1,3
"2","7","10","10","8","9",0.109,0,0.891,3
"6","2","8","8","9","5",0.998,0,0.002,1
"7","4","10","4","10","10",0.032,0,0.968,3
"1","2","3","4","1","5",0.648,0,0.352,1
"8","2","10","10","9","10",0.008,0,0.992,3
"2","1","10","3","10","10",0,0,1,3
"10","5","6","8","4","4",1,0,0,1
"2","1","10","7","10","10",0,0,1,3
"5","2","8","7","7","7",0.999,0,0.001,1
"5","1","10","8","10","10",0,0,1,3
"9","5","5","5","10","10",0.015,0.862,0.123,2
"8","7","6","7","10","10",0.523,0,0.477,1
"10","5","10","10","10","10",0,0,1,3
"10","6","1","10","10","10",0,0,1,3
"4","4","5","3","5","7",0.5,0.5,0,2
"6","1","10","1","10","10",0,0,1,3
"5","5","6","6","8","10",0.795,0.185,0.019,1
"3","3","9","8","8","8",0.997,0,0.003,1
"5","5","5","5","5","7",0.001,0.999,0,2
"3","1","10","1","10","9",0,0,1,3
"5","5","5","5","10","10",0.002,0.986,0.012,2
"1","1","10","2","10","10",0,0,1,3
"6","1","10","4","10","10",0,0,1,3
"4","4","4","4","2","2",0.999,0.001,0,1
"5","1","10","10","10","10",0,0,1,3
"4","4","7","6","8","8",1,0,0,1
"8","1","10","8","10","10",0,0,1,3
"10","1","10","10","10","10",0,0,1,3
"7","7","8","7","7","10",0.992,0,0.008,1
"5","5","10","10","10","10",0.001,0,0.999,3
"4","5","5","5","5","5",0,1,0,2
"5","6","10","6","10","10",0.037,0,0.962,3
"2","8","3","7","7","5",0.998,0,0.002,1
"7","1","10","5","9","10",0.009,0,0.991,3
"5","1","10","8","10","10",0,0,1,3
"8","1","10","9","10","10",0,0,1,3
"8","1","10","10","1","10",0,0,1,3
"6","1","9","7","10","8",0.235,0,0.765,3
"7","5","7","6","7","9",1,0,0,1
"2","1","10","6","10","10",0,0,1,3
"7","1","10","7","10","10",0,0,1,3
"1","1","10","1","10","5",0,0,1,3
"6","1","10","10","10","10",0,0,1,3
"4","4","4","4","4","8",0.999,0.001,0,1
"6","4","8","8","7","7",1,0,0,1
"4","1","10","4","10","10",0.001,0,0.999,3
"5","1","10","7","10","10",0,0,1,3
"5","1","1","10","10","10",0,0,1,3
"6","4","10","5","9","10",0.427,0,0.573,3
"1","9","1","2","10","10",0,0,1,3
"7","2","7","7","7","7",1,0,0,1
"5","5","5","5","5","5",0,1,0,2
"5","5","10","7","8","6",0.942,0,0.058,1
"1","1","10","1","5","9",0,0,1,3
"1","1","10","5","10","10",0,0,1,3
"6","1","10","6","10","10",0,0,1,3
"3","3","10","4","9","10",0.312,0,0.688,3
"7","5","9","9","8","9",0.997,0,0.003,1
"10","1","5","1","9","1",0,0,1,3
"1","1","10","2","10","10",0,0,1,3
"6","1","10","8","10","10",0.001,0,0.999,3
"2","2","10","2","9","9",0.25,0,0.75,3
"7","1","10","2","10","10",0,0,1,3
"1","1","10","9","8","10",0.001,0,0.999,3
"6","5","10","3","8","10",0.243,0.001,0.756,3
"1","1","10","1","10","10",0,0,1,3
"4","1","10","7","10","10",0.001,0,0.999,3
"6","1","10","7","10","10",0,0,1,3
"1","1","10","1","10","10",0,0,1,3
"9","1","10","8","10","10",0,0,1,3
"8","1","10","1","10","10",0,0,1,3
"6","3","10","6","6","8",0.986,0,0.014,1
"5","5","8","5","7","7",0.927,0.073,0,1
"9","9","9","9","9","9",0.996,0,0.004,1
"1","1","10","8","8","10",0.001,0,0.999,3
"1","1","10","4","10","10",0,0,1,3
"1","1","10","9","2","9",0.023,0,0.977,3
"9","5","10","7","7","5",0.97,0,0.03,1
"3","3","10","5","8","10",0.215,0,0.785,3
"1","3","4","4","3","6",0.999,0.001,0,1
"2","3","10","2","9","6",0.53,0,0.47,1
"10","7","10","10","10","10",0,0,1,3
"1","4","10","6","6","8",0.908,0,0.091,1
"1","1","10","5","10","9",0,0,1,3
"8","4","10","3","6","8",0.987,0,0.013,1
"4","4","4","4","6","6",1,0,0,1
"10","10","1","9","10","10",0,0,1,3
"9","8","8","9","10","10",0.594,0,0.406,1
"10","5","7","8","10","10",0.184,0,0.816,3
"5","3","7","7","5","8",1,0,0,1
"2","1","10","1","6","10",0,0,1,3
"6","5","5","5","5","5",0,1,0,2
"3","1","10","3","10","10",0,0,1,3
"5","6","5","6","6","5",0.085,0.915,0,2
"2","2","10","6","8","9",0.607,0,0.393,1
"8","1","10","5","7","9",0.386,0,0.614,3
"7","6","10","3","7","9",0.985,0,0.015,1
"1","1","10","5","1","7",0.002,0.001,0.998,3
"6","2","10","7","9","9",0.86,0,0.14,1
"8","4","10","6","10","10",0.029,0,0.971,3
"1","1","10","2","10","10",0,0,1,3
"6","1","10","6","10","10",0,0,1,3
"6","6","10","5","7","9",0.985,0,0.015,1
"7","6","7","7","8","8",1,0,0,1
"5","2","10","5","10","10",0.004,0,0.996,3
"1","5","10","1","10","10",0,0,1,3
"4","3","7","3","8","9",1,0,0,1
"5","1","10","10","10","10",0,0,1,3
"7","1","10","7","10","10",0,0,1,3
"10","1","10","9","10","10",0,0,1,3
"9","1","9","9","9","9",0.903,0,0.097,1
"5","1","10","6","9","10",0.015,0,0.985,3
"5","6","8","2","7","8",1,0,0,1
"3","2","10","7","8","9",0.825,0,0.175,1
"5","3","9","8","9","9",0.997,0,0.003,1
"7","2","9","9","10","10",0.154,0,0.846,3
"1","2","4","3","1","5",1,0,0,1
"7","1","10","5","10","10",0,0,1,3
"6","7","9","5","9","9",0.994,0,0.006,1
"7","3","7","7","10","10",0.655,0,0.345,1
"1","3","6","5","6","9",0.989,0.007,0.004,1
"5","4","9","6","10","8",0.956,0.001,0.043,1
"8","1","10","10","10","10",0,0,1,3
"7","7","7","7","7","7",1,0,0,1
"10","1","10","10","10","10",0,0,1,3
"3","1","10","7","10","10",0,0,1,3
"5","2","7","6","5","6",1,0,0,1
"1","1","9","3","10","10",0,0,1,3
"9","1","10","8","10","10",0,0,1,3
"5","4","8","5","8","9",0.999,0.001,0.001,1
"7","5","9","6","8","8",0.996,0,0.003,1
"1","1","10","1","5","10",0,0,1,3
"7","7","8","7","7","9",1,0,0,1
"7","6","10","7","10","10",0.037,0,0.963,3
"5","1","2","3","9","8",0.409,0,0.591,3
"5","5","8","7","9","4",1,0,0,1
"3","1","10","1","10","10",0,0,1,3
"1","1","10","1","10","10",0,0,1,3
"7","5","5","8","8","6",0.996,0,0.004,1
"5","1","10","5","10","10",0,0,1,3
"2","7","10","2","7","10",0.085,0,0.915,3
"2","2","10","4","10","10",0.002,0,0.998,3
"5","2","10","9","9","10",0.211,0,0.789,3
"7","4","10","8","10","10",0.035,0,0.965,3
"2","1","10","1","10","10",0,0,1,3
"5","3","10","6","7","9",0.978,0,0.022,1
"2","1","10","1","10","10",0,0,1,3
"10","5","10","10","10","5",0.002,0.002,0.996,3
"3","1","10","7","10","10",0,0,1,3
"5","5","5","5","7","8",0.019,0.981,0,2
"7","9","9","5","8","7",0.994,0,0.006,1
"6","4","8","3","8","9",0.999,0,0.001,1
"1","7","10","2","10","10",0,0,1,3
"3","1","10","2","7","10",0.009,0,0.991,3
"1","2","10","5","10","10",0,0,1,3
"8","1","8","8","9","10",0.537,0,0.463,1
"7","1","10","7","10","10",0,0,1,3
"8","6","6","7","7","9",1,0,0,1
"1","8","10","2","10","10",0,0,1,3
"4","1","10","2","10","10",0,0,1,3
