"tax","religion","free_election","state_aid","civil_rights","women","posterior_C1","posterior_C2","posterior_C3","pred_class"
"5","6","10","2","8","3",0.881,0,0.119,1
"7","1","10","4","9","10",0.014,0,0.986,3
"9","1","10","10","8","10",0.001,0,0.999,3
"7","1","10","7","10","10",0,0,1,3
"6","2","10","7","10","10",0.007,0,0.993,3
"8","5","10","6","8","10",0.287,0,0.713,3
"1","1","10","5","5","10",0.001,0.002,0.997,3
"8","3","10","6","10","10",0.014,0,0.986,3
"8","5","10","8","10","9",0.242,0,0.758,3
"10","10","10","10","10","8",0,0,1,3
"2","4","10","4","10","10",0.009,0,0.991,3
"5","5","5","5","5","5",0,1,0,2
"1","8","10","4","10","8",0.031,0,0.969,3
"7","4","8","9","8","10",0.991,0,0.009,1
"6","8","9","7","9","9",0.997,0,0.003,1
"6","4","8","8","7","7",1,0,0,1
"4","1","10","10","10","10",0,0,1,3
"5","9","10","4","1","10",0.042,0,0.958,3
"4","5","10","10","4","10",0.036,0.004,0.96,3
"9","2","9","9","9","9",0.993,0,0.007,1
"1","1","10","6","10","10",0,0,1,3
"7","2","9","8","10","10",0.147,0,0.853,3
"5","2","10","5","10","10",0.004,0,0.996,3
"7","1","10","3","10","10",0,0,1,3
"3","5","8","6","6","7",0.999,0,0,1
"10","1","10","3","10","10",0,0,1,3
"5","5","5","5","5","5",0,1,0,2
"3","3","10","6","10","10",0.013,0,0.987,3
"5","6","10","5","10","10",0.023,0.002,0.975,3
"5","3","10","5","8","8",0.895,0.005,0.1,1
"1","5","10","7","5","10",0.074,0,0.926,3
"6","5","8","4","5","9",0.999,0,0,1
"5","5","5","5","5","5",0,1,0,2
"3","1","10","4","9","10",0.012,0,0.988,3
"1","1","10","8","9","10",0.001,0,0.999,3
"7","1","10","7","10","10",0,0,1,3
"1","1","10","1","10","10",0,0,1,3
"1","1","10","1","8","1",0,0,1,3
"2","1","10","3","9","10",0.003,0,0.997,3
"1","1","10","2","10","10",0,0,1,3
"1","1","10","4","7","10",0.004,0,0.996,3
"1","3","1","4","7","9",0.727,0,0.273,1
"3","7","10","4","10","8",0.233,0,0.767,3
"6","1","10","5","3","10",0.011,0,0.988,3
"7","1","10","4","8","10",0.014,0,0.986,3
"5","5","6","5","7","10",0.22,0.777,0.003,2
"7","1","10","7","10","10",0,0,1,3
"5","5","8","5","7","9",0.983,0.017,0.001,1
"2","1","10","2","10","10",0,0,1,3
"7","7","8","8","9","10",0.976,0,0.024,1
"6","6","6","6","6","6",0.999,0.001,0,1
"9","1","10","8","10","10",0,0,1,3
"5","2","10","10","10","10",0,0,1,3
"9","3","10","7","7","8",0.979,0,0.021,1
"9","1","10","9","10","10",0,0,1,3
"7","1","10","7","9","10",0.015,0,0.985,3
"1","1","10","9","10","10",0,0,1,3
"4","2","10","4","9","10",0.317,0,0.683,3
"3","1","8","5","8","4",0.995,0.005,0,1
"6","6","6","4","7","7",1,0,0,1
"2","1","9","1","8","10",0,0,1,3
"5","5","5","5","7","8",0.019,0.981,0,2
"5","6","6","6","6","5",0.767,0.233,0,1
"7","3","10","9","9","9",0.938,0,0.062,1
"1","1","10","1","10","10",0,0,1,3
"4","4","9","6","5","5",0.964,0.035,0,1
"1","1","10","6","10","10",0,0,1,3
"7","3","8","5","8","8",0.999,0,0.001,1
"6","1","10","6","10","10",0,0,1,3
"6","1","10","9","7","10",0.057,0,0.943,3
"10","1","10","6","10","10",0,0,1,3
"9","6","6","10","9","10",0.809,0,0.191,1
"5","4","9","6","7","9",1,0,0,1
"6","1","10","4","10","10",0,0,1,3
"6","1","10","5","10","10",0,0,1,3
"6","1","10","8","10","10",0.001,0,0.999,3
"5","1","10","7","10","9",0.011,0,0.989,3
"5","5","5","5","6","5",0,1,0,2
"6","3","10","8","8","8",0.945,0,0.055,1
"5","1","10","6","1","8",0.041,0.002,0.957,3
"5","1","10","2","10","6",0.003,0,0.997,3
"7","4","8","8","7","8",1,0,0,1
"10","1","10","10","10","10",0,0,1,3
"5","1","10","3","7","10",0.032,0,0.968,3
"5","2","10","2","9","10",0.047,0,0.953,3
"6","5","10","10","10","10",0.001,0,0.999,3
"5","5","8","8","7","9",1,0,0,1
"8","1","10","3","10","10",0,0,1,3
"6","7","10","8","10","10",0.016,0,0.984,3
"5","1","10","1","10","10",0,0,1,3
"6","1","10","6","10","10",0,0,1,3
"3","2","10","2","8","10",0.039,0,0.961,3
"8","2","9","8","9","10",0.839,0,0.161,1
"1","5","10","1","8","10",0,0,1,3
"5","5","6","6","5","5",0.008,0.992,0,2
"6","3","8","7","8","9",0.999,0,0.001,1
"5","5","5","5","5","5",0,1,0,2
"5","5","5","5","10","10",0.002,0.986,0.012,2
"9","9","10","8","8","9",0.91,0,0.09,1
"1","1","1","1","1","1",0,0,1,3
"10","3","10","10","10","10",0,0,1,3
"5","4","10","9","9","9",0.97,0,0.03,1
"1","5","5","5","5","10",0.001,0.998,0.001,2
"3","2","10","7","10","10",0.006,0,0.994,3
"6","6","6","6","7","8",1,0,0,1
"1","1","10","6","6","10",0.005,0,0.995,3
"2","1","9","10","10","10",0,0,1,3
"5","5","5","5","5","5",0,1,0,2
"5","5","6","6","2","10",0.291,0.7,0.009,2
"7","4","10","10","8","9",0.514,0,0.486,1
"6","1","8","6","10","10",0.037,0,0.963,3
"8","1","10","6","10","10",0,0,1,3
"5","2","4","4","5","7",1,0,0,1
"3","1","10","10","10","10",0,0,1,3
"6","7","10","10","10","10",0.001,0,0.999,3
"5","5","5","5","5","5",0,1,0,2
"4","4","10","4","9","10",0.7,0,0.3,1
"6","5","6","5","5","5",0.008,0.992,0,2
"1","1","10","6","10","10",0,0,1,3
"5","5","5","5","10","10",0.002,0.986,0.012,2
"6","1","9","5","9","9",0.848,0,0.152,1
"4","3","6","5","8","10",0.969,0.015,0.016,1
"2","1","10","10","10","10",0,0,1,3
"10","1","5","3","9","10",0.02,0,0.98,3
"6","5","10","8","10","10",0.016,0,0.984,3
"4","4","8","3","7","8",1,0,0,1
"6","6","6","6","5","5",0.753,0.247,0,1
"7","5","5","5","5","4",0.002,0.998,0,2
"4","1","10","5","10","10",0.001,0,0.999,3
"7","5","8","8","7","10",0.993,0,0.007,1
"5","2","10","8","10","10",0.007,0,0.993,3
"3","1","10","3","10","10",0,0,1,3
"3","5","10","5","10","10",0.007,0,0.993,3
"5","5","5","5","5","2",0,1,0,2
"1","1","10","4","10","8",0.001,0,0.999,3
"1","1","10","1","10","10",0,0,1,3
"3","1","10","3","10","10",0,0,1,3
"5","6","6","7","7","6",1,0,0,1
"8","2","2","1","3","2",0,0,1,3
"5","4","10","10","10","10",0.001,0,0.999,3
"7","1","10","7","10","10",0,0,1,3
"1","1","10","1","10","10",0,0,1,3
"5","5","4","6","4","5",0.051,0.949,0,2
"3","2","10","8","10","10",0.006,0,0.994,3
"3","3","10","7","9","10",0.322,0,0.678,3
"1","1","10","5","10","10",0,0,1,3
"7","4","8","7","8","10",0.989,0,0.011,1
"6","10","5","9","10","10",0.026,0,0.974,3
"8","1","10","6","10","10",0,0,1,3
"1","1","10","2","10","10",0,0,1,3
"3","1","10","2","7","10",0.009,0,0.991,3
"1","1","10","1","10","10",0,0,1,3
"5","5","5","5","10","10",0.002,0.986,0.012,2
"10","1","1","10","10","6",0,0,1,3
"3","3","10","4","7","9",0.973,0,0.027,1
"2","1","10","8","10","10",0,0,1,3
"3","1","10","6","10","10",0,0,1,3
"5","1","10","4","10","10",0,0,1,3
"2","2","10","3","10","1",0.002,0,0.998,3
"1","4","1","1","1","1",0,0,1,3
"1","2","10","4","10","10",0,0,1,3
"7","3","10","6","6","7",0.985,0,0.015,1
"5","5","5","1","10","5",0,0.998,0.002,2
"7","1","10","6","8","10",0.014,0,0.986,3
"1","4","1","1","10","10",0,0,1,3
"1","2","10","3","10","10",0,0,1,3
"5","6","8","9","5","5",1,0,0,1
"5","1","10","5","3","10",0.011,0.006,0.983,3
"5","5","5","5","5","5",0,1,0,2
"5","5","5","5","5","5",0,1,0,2
"2","8","9","2","7","9",0.985,0,0.015,1
"9","2","10","8","5","10",0.347,0,0.653,3
"2","1","10","5","10","10",0,0,1,3
"5","5","5","5","5","5",0,1,0,2
"7","1","10","3","9","10",0.009,0,0.991,3
"2","1","10","5","10","10",0,0,1,3
"7","4","10","5","9","10",0.406,0,0.594,3
"3","2","10","2","7","9",0.766,0,0.234,1
"10","1","10","7","10","10",0,0,1,3
"5","1","10","1","10","10",0,0,1,3
"10","1","10","10","10","10",0,0,1,3
"10","2","6","1","7","10",0,0,1,3
"8","3","10","7","10","10",0.014,0,0.986,3
"8","1","10","10","10","10",0,0,1,3
"6","6","4","6","5","3",0.963,0.037,0,1
"5","5","7","5","7","7",1,0,0,1
"2","1","10","2","6","10",0.004,0,0.996,3
"8","6","10","4","9","7",0.968,0,0.032,1
"8","1","10","7","10","10",0,0,1,3
"5","5","10","5","8","10",0.2,0.09,0.71,3
"8","3","10","5","6","10",0.561,0,0.439,1
"4","4","10","10","5","10",0.172,0.002,0.826,3
"5","5","5","5","5","8",0.001,0.999,0,2
"6","1","1","3","6","6",0.562,0.004,0.434,1
"4","5","10","10","4","10",0.036,0.004,0.96,3
"1","1","1","1","1","1",0,0,1,3
"3","3","3","3","3","3",0.994,0.004,0.002,1
"1","2","1","3","1","2",0.011,0,0.989,3
"2","4","10","3","10","10",0.006,0,0.994,3
"5","5","5","5","5","5",0,1,0,2
"8","6","10","9","10","10",0.037,0,0.963,3
"1","1","10","3","10","10",0,0,1,3
"1","1","10","10","10","10",0,0,1,3
"5","5","5","5","5","5",0,1,0,2
"3","4","3","7","4","8",0.999,0,0.001,1
"5","3","5","5","7","8",0.409,0.59,0.001,2
"5","2","7","3","5","8",0.999,0,0.001,1
"5","1","10","5","10","10",0,0,1,3
"3","1","10","2","10","10",0,0,1,3
"6","5","10","7","10","10",0.015,0,0.985,3
"5","5","5","5","5","5",0,1,0,2
"1","1","10","3","10","10",0,0,1,3
"4","2","10","6","10","10",0.014,0,0.986,3
"5","2","10","7","10","10",0.007,0,0.993,3
"7","6","8","5","9","10",0.984,0,0.016,1
"10","1","10","6","10","10",0,0,1,3
"7","1","10","6","9","10",0.014,0,0.986,3
"6","2","10","7","10","10",0.007,0,0.993,3
"1","7","10","2","10","6",0.007,0,0.993,3
"1","1","10","1","10","10",0,0,1,3
"6","2","9","5","9","10",0.779,0,0.221,1
"9","2","9","2","7","9",0.989,0,0.011,1
"1","1","10","1","10","10",0,0,1,3
"5","1","9","9","9","9",0.909,0,0.091,1
"8","1","10","10","10","10",0,0,1,3
"1","1","10","1","10","10",0,0,1,3
"6","5","10","5","4","9",0.853,0.032,0.115,1
"10","1","10","7","10","6",0.002,0,0.998,3
"6","6","9","9","8","10",0.974,0,0.026,1
"7","6","7","7","7","6",1,0,0,1
"6","1","10","10","10","10",0,0,1,3
"6","1","10","9","9","6",0.385,0,0.615,3
"8","2","10","8","9","9",0.842,0,0.158,1
"1","1","10","1","6","10",0,0,1,3
"8","7","7","6","6","5",1,0,0,1
"1","1","10","1","10","10",0,0,1,3
"1","1","10","1","10","10",0,0,1,3
"10","2","10","1","10","10",0,0,1,3
"5","1","10","1","10","10",0,0,1,3
"1","1","10","1","10","10",0,0,1,3
"10","1","10","6","10","10",0,0,1,3
"1","1","10","8","10","10",0,0,1,3
"5","5","5","5","5","5",0,1,0,2
"5","5","5","5","5","5",0,1,0,2
"5","1","5","5","7","7",0.064,0.931,0.005,2
"5","5","5","5","5","5",0,1,0,2
"5","5","5","5","5","5",0,1,0,2
"1","1","7","9","6","10",0.39,0,0.61,3
"1","1","10","1","10","10",0,0,1,3
"3","3","9","7","8","8",0.997,0,0.003,1
"4","3","8","5","8","9",0.999,0,0.001,1
"4","1","10","4","10","10",0.001,0,0.999,3
"6","8","6","6","5","1",0.994,0,0.006,1
"5","5","10","2","8","10",0.091,0,0.909,3
"5","1","10","8","10","10",0,0,1,3
"4","3","8","8","7","10",0.997,0,0.003,1
"8","1","10","8","10","10",0,0,1,3
"5","1","10","10","10","10",0,0,1,3
"5","5","5","5","5","5",0,1,0,2
"9","1","10","9","8","10",0.016,0,0.984,3
"6","1","10","6","10","8",0.012,0,0.988,3
"1","1","10","7","10","9",0.001,0,0.999,3
"1","1","3","4","3","9",0.603,0.001,0.396,1
"6","1","10","8","8","10",0.017,0,0.983,3
"8","2","10","10","10","10",0,0,1,3
"4","1","10","5","10","10",0.001,0,0.999,3
"7","1","10","6","9","10",0.014,0,0.986,3
"1","1","10","1","10","10",0,0,1,3
"6","3","7","8","9","10",0.987,0,0.013,1
"5","5","5","5","5","5",0,1,0,2
"1","1","10","6","10","10",0,0,1,3
"4","6","8","8","4","7",1,0,0,1
"4","3","5","3","5","5",0.038,0.962,0,2
"2","1","10","2","9","10",0.001,0,0.999,3
"3","5","5","5","2","5",0.002,0.998,0,2
"3","1","10","1","10","10",0,0,1,3
"1","1","10","10","10","10",0,0,1,3
"6","1","10","5","8","10",0.009,0,0.991,3
"3","1","10","8","9","10",0.013,0,0.987,3
"9","6","8","4","7","3",1,0,0,1
"5","7","6","6","7","9",1,0,0,1
"6","4","8","8","7","2",1,0,0,1
"8","6","10","10","8","10",0.042,0,0.958,3
"1","1","10","1","10","10",0,0,1,3
"9","5","8","5","5","5",0.132,0.868,0,2
"3","9","9","6","10","10",0.195,0,0.805,3
"5","5","5","5","5","5",0,1,0,2
"7","3","10","8","9","9",0.935,0,0.065,1
"1","1","10","1","10","10",0,0,1,3
"10","6","10","10","9","8",0.15,0,0.85,3
"6","3","10","7","8","10",0.375,0,0.625,3
"3","5","8","7","4","9",0.999,0,0.001,1
"5","5","5","5","5","5",0,1,0,2
"1","1","1","1","4","10",0,0,1,3
"9","1","10","10","10","10",0,0,1,3
"1","3","2","1","4","3",0,0,1,3
"7","5","10","9","10","10",0.015,0,0.985,3
"10","1","10","10","10","10",0,0,1,3
"5","5","5","5","5","3",0,1,0,2
"6","6","7","8","5","8",1,0,0,1
"1","1","10","10","10","10",0,0,1,3
"1","4","9","7","7","7",0.995,0,0.005,1
"10","5","9","9","8","4",1,0,0,1
"2","1","10","4","10","10",0,0,1,3
"6","3","7","2","3","10",0.946,0,0.054,1
"1","1","10","8","10","10",0,0,1,3
"6","1","10","5","10","10",0,0,1,3
"5","1","10","10","10","10",0,0,1,3
"6","1","10","5","10","10",0,0,1,3
"6","6","6","6","6","6",0.999,0.001,0,1
"9","7","8","9","9","9",0.999,0,0.001,1
"3","2","10","6","7","9",0.939,0,0.061,1
"5","3","10","5","10","10",0.01,0.001,0.989,3
"5","1","10","7","10","10",0,0,1,3
"10","3","10","5","7","10",0.125,0,0.875,3
"6","5","5","6","4","6",0.168,0.831,0.001,2
"5","5","10","2","9","9",0.711,0,0.289,1
"5","5","8","8","6","7",1,0,0,1
"4","10","10","4","4","4",0.953,0.047,0,1
"8","4","8","8","5","10",0.995,0,0.005,1
"6","3","10","4","10","9",0.294,0,0.706,3
"5","5","10","7","9","5",0.914,0,0.086,1
"5","3","10","7","10","10",0.017,0,0.983,3
"5","5","8","6","8","8",0.995,0.004,0.001,1
"2","1","10","5","10","10",0,0,1,3
"1","1","10","5","10","10",0,0,1,3
"10","10","8","9","9","9",0.931,0,0.069,1
"2","2","1","2","10","10",0,0,1,3
"6","2","10","4","8","10",0.192,0,0.808,3
"7","1","10","1","10","10",0,0,1,3
"2","4","10","4","8","10",0.239,0,0.761,3
"5","1","10","6","7","10",0.048,0,0.952,3
"5","2","10","7","10","10",0.007,0,0.993,3
"6","6","7","6","6","5",1,0,0,1
"5","1","10","5","8","10",0.009,0.001,0.99,3
"10","1","8","9","10","10",0.005,0,0.995,3
"4","6","9","7","7","8",1,0,0,1
"1","1","5","5","8","3",0.022,0.899,0.079,2
"3","5","1","2","10","9",0.047,0,0.953,3
"7","3","7","7","7","10",0.995,0,0.005,1
"5","7","9","9","3","1",0.954,0,0.046,1
"5","5","9","9","9","10",0.929,0,0.071,1
"5","1","5","3","3","3",0.019,0.977,0.004,2
"10","1","10","10","1","10",0,0,1,3
"1","1","10","1","5","10",0,0,1,3
"6","4","8","6","8","8",1,0,0,1
"6","1","10","9","8","10",0.018,0,0.982,3
"2","1","10","10","10","10",0,0,1,3
"4","1","10","8","6","10",0.128,0,0.872,3
"5","1","10","8","10","10",0,0,1,3
"5","5","10","5","7","6",0.678,0.301,0.021,1
"6","1","10","2","9","10",0.003,0,0.997,3
"10","1","10","10","10","10",0,0,1,3
"10","10","1","10","7","1",0.001,0,0.999,3
"1","1","10","1","10","10",0,0,1,3
"1","1","10","1","10","10",0,0,1,3
"8","4","9","9","8","10",0.964,0,0.036,1
"10","1","10","4","10","10",0,0,1,3
"7","5","10","8","10","10",0.015,0,0.985,3
"1","1","10","1","10","10",0,0,1,3
"7","2","10","7","9","10",0.188,0,0.812,3
"9","1","10","10","10","10",0,0,1,3
"5","9","9","2","5","8",0.992,0,0.008,1
"1","1","10","10","1","10",0,0,1,3
"5","5","5","5","5","5",0,1,0,2
"5","6","5","6","6","9",0.938,0.062,0,1
"6","6","6","6","6","6",0.999,0.001,0,1
"1","5","10","2","8","8",0.162,0,0.838,3
"7","2","9","6","10","10",0.136,0,0.864,3
"1","1","10","5","10","10",0,0,1,3
"1","1","6","6","5","5",0.085,0.897,0.018,2
"8","4","8","8","8","8",1,0,0,1
"10","10","10","10","10","10",0,0,1,3
"10","1","10","5","10","10",0,0,1,3
"8","7","6","6","9","6",0.999,0,0.001,1
"6","1","10","10","10","10",0,0,1,3
"9","3","10","5","10","8",0.198,0.001,0.801,3
"3","4","4","6","8","6",1,0,0,1
"5","8","6","9","10","10",0.631,0,0.369,1
"2","2","6","6","6","7",0.999,0,0.001,1
"3","4","10","4","4","10",0.489,0,0.511,3
"1","1","9","2","10","10",0,0,1,3
"6","1","10","7","8","10",0.016,0,0.984,3
"10","5","5","10","5","5",0.001,0.999,0,2
"8","2","8","8","6","6",1,0,0,1
"6","3","10","7","9","10",0.378,0,0.622,3
"5","5","9","6","10","9",0.885,0.005,0.11,1
"1","7","10","2","10","10",0,0,1,3
"5","1","10","5","9","10",0.009,0,0.991,3
"2","2","10","5","10","10",0.001,0,0.999,3
"7","1","10","10","5","10",0.001,0,0.999,3
"9","1","10","10","10","10",0,0,1,3
"5","1","10","10","10","10",0,0,1,3
