model,log-likelihood,resid. df,BIC,ABIC,cAIC,likelihood-ratio,Entropy,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13
model 1,-248925.7765,22770,498393.4737,498221.8635,498447.4737,117443.253,-,1,-,-,-,-,-,-,-,-,-,-,-,-
model 2,-233802.3265,22715,468698.5298,468352.1315,468807.5298,87196.3529,0.815,0.45,0.55,-,-,-,-,-,-,-,-,-,-,-
model 3,-229534.0211,22660,460713.8753,460192.6889,460877.8753,78659.74214,0.772,0.469,0.36,0.171,-,-,-,-,-,-,-,-,-,-
model 4,-227273.1833,22605,456744.156,456048.1814,456963.156,74138.06663,0.751,0.182,0.152,0.394,0.273,-,-,-,-,-,-,-,-,-
model 5,-225807.1245,22550,454363.9946,453493.2318,454637.9946,71205.94893,0.752,0.062,0.383,0.255,0.13,0.171,-,-,-,-,-,-,-,-
model 6,-224729.1761,22495,452760.0541,451714.5032,453089.0541,69050.05218,0.729,0.139,0.086,0.06,0.164,0.188,0.362,-,-,-,-,-,-,-
model 7,-223903.0422,22440,451659.7425,450439.4035,452043.7425,67397.78443,0.717,0.138,0.176,0.06,0.073,0.143,0.339,0.07,-,-,-,-,-,-
model 8,-223188.2723,22385,450782.1588,449387.0317,451221.1588,65968.24448,0.716,0.026,0.139,0.34,0.061,0.124,0.075,0.07,0.166,-,-,-,-,-
model 9,-222766.2496,22330,450490.0698,448920.1545,450984.0698,65124.19925,0.682,0.075,0.207,0.101,0.025,0.178,0.166,0.055,0.057,0.135,-,-,-,-
model 10,-222469.0883,22275,450447.7035,448703,450996.7035,64529.87665,0.665,0.145,0.051,0.073,0.017,0.199,0.156,0.152,0.073,0.093,0.041,-,-,-
model 11,-222121.9309,22220,450305.3449,448385.8533,450909.3449,63835.56184,0.676,0.067,0.137,0.047,0.069,0.159,0.084,0.022,0.135,0.032,0.194,0.053,-,-
model 12,-221849.7006,22165,450312.8405,448218.5608,450971.8405,63291.10124,0.651,0.086,0.016,0.151,0.063,0.039,0.204,0.13,0.031,0.015,0.124,0.07,0.071,-
model 13,-221574.5604,22110,450314.5163,448045.4484,451028.5163,62740.82075,0.678,0.015,0.061,0.016,0.102,0.068,0.029,0.099,0.137,0.037,0.07,0.074,0.089,0.203